Время, сек;Давление (избыточное), кПа;Температура,°С
481;4966,93;1,03
482;4966,93;1,03
483;4966,55;1,03
484;4966,93;1,03
485;4966,93;1,03
486;4966,93;1,03
487;4966,93;1,03
488;4966,93;1,02
489;4966,93;1,02
490;4966,93;1,02
491;4966,93;1,02
492;4966,93;1,02
493;4966,93;1,02
494;4966,55;1,02
495;4966,55;1,02
496;4966,55;1,02
497;4966,55;1,02
498;4966,55;1,02
499;4966,17;1,02
500;4966,17;1,02
501;4966,17;1,02
502;4966,17;1,01
503;4966,17;1,01
504;4966,17;1,01
505;4966,17;1,01
506;4966,55;1
507;4966,55;1
508;4966,55;1
509;4966,55;1
510;4966,55;1,01
511;4966,55;1,01
512;4966,55;1
513;4966,55;1
514;4966,55;1
515;4966,55;1
516;4966,55;1
517;4966,55;1
518;4966,55;1
519;4966,55;0,99
520;4966,55;0,99
521;4966,55;0,99
522;4966,55;0,99
523;4966,55;0,99
524;4966,55;0,99
525;4966,55;0,99
526;4966,55;0,99
527;4966,55;0,99
528;4966,55;0,98
529;4966,55;0,98
530;4966,55;0,98
531;4966,55;0,98
532;4966,55;0,98
533;4966,55;0,97
534;4966,55;0,97
535;4966,55;0,97
536;4966,55;0,97
537;4966,55;0,97
538;4966,55;0,97
539;4966,55;0,97
540;4966,93;0,97
541;4966,93;0,97
542;4966,93;0,96
543;4966,93;0,96
544;4966,93;0,96
545;4966,93;0,96
546;4966,93;0,96
547;4966,93;0,96
548;4966,93;0,96
549;4966,93;0,96
550;4966,93;0,96
551;4966,93;0,96
552;4966,93;0,96
553;4966,93;0,95
554;4966,93;0,95
555;4966,93;0,95
556;4967,31;0,95
557;4967,31;0,95
558;4967,31;0,95
559;4967,31;0,94
560;4967,7;0,94
561;4967,31;0,94
562;4967,7;0,94
563;4967,7;0,94
564;4967,7;0,94
565;4967,7;0,94
566;4968,08;0,94
567;4968,08;0,94
568;4968,08;0,94
569;4967,7;0,94
570;4967,7;0,94
571;4967,31;0,94
572;4966,93;0,94
573;4966,55;0,94
574;4966,17;0,93
575;4965,79;0,93
576;4965,41;0,93
577;4964,64;0,92
578;4964,26;0,92
579;4963,88;0,92
580;4963,5;0,92
581;4963,12;0,92
